ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
7704,MN,20030,MANTOVA,COOP CONSUMATORI NORDEST S.C.A R.L.,"Piazzale Beccaria, 1",,5700,6300,12000,45.1689125059,10.8232175147
4527,MI,15213,SOLARO,ESSELUNGA SPA,Via Varese 57,,1500,2000,3500,45.6167665817,9.073203952
461,PV,18095,MONTEBELLO DELLA BATTAGLIA,IPER MONTEBELLO SPA,Via Ing A Mazza,,7150,18242,25392,44.999279711,9.0743400312
13756,MN,20057,SAN GIORGIO DI MANTOVA,MARTINELLI GIAN PAOLO,Via Del Commercio,,3000,1500,4500,45.1684802981,10.8511549663
6705,MB,108004,ARCORE,ESSELUNGA S.P.A.,V. Gilera,,2086,894,2980,45.6327325129,9.3344021422
7585,CO,13222,TAVERNERIO,CARREFOUR,"Via Briantea, 4",,1629,1086,2715,45.7949485423,9.1460362695
9879,SO,14054,PRATA CAMPORTACCIO,IPERAL SPA,Via Giulio Chiarelli 4-6,,1734,1866,3600,46.3116888293,9.3973827818
3478,MI,15118,LEGNANO,BENNET SPA,"Corso Italia, 25",,1300,1300,2600,45.59620979,8.916365017
8209,MI,15146,MILANO,PALLONI ANTONIO,"Via Novara, 15",,1848,2161,4009,45.4682451265,9.1278024047
8214,MI,15146,MILANO,SIMONETTO ROBERTO,"Via Missaglia, 22",,2249,964,3213,45.4272930177,9.1768133747
1412,VA,12138,VERGIATE,CONFORAMA ITALIA SPA,"Via Sempione, 64",C,0,5390,5390,45.7175316178,8.6922770152
1088,MI,15085,CORBETTA,ESSELUNGA SPA,Via Settembrini Ang. Via Nievo,,1898,2474,4372,45.4719067228,8.905330812
